name|team|pa|hr|r|rbi|sb|so|bb|h|ab|sf|hbp|x2b|x3b|avg|obp|slg
JJ Wetherholt|STL|607|17|89|51|14|102|64|128|525|2|16|14|0|0.244|0.343|0.368
Dillon Dingler|DET|598|27|71|89|0|137|34|132|542|5|15|27|2|0.244|0.304|0.45
Michael Conforto|CHC|301|15|32|44|1|80|34|63|259|4|4|16|0|0.243|0.336|0.479
Raynel Delgado|HOU|41|1|4|4|0|7|3|9|37|0|0|1|0|0.243|0.3|0.351
Thomas Saggese|STL|165|4|25|13|4|43|13|36|148|3|1|5|1|0.243|0.303|0.372
Daniel Susac|SFG|161|3|11|22|2|36|8|35|144|4|3|8|1|0.243|0.289|0.375
Tommy Edman|LAD|319|8|43|41|6|65|21|68|280|1|14|11|2|0.243|0.326|0.382
Trevor Story|BOS|256|5|24|29|5|81|10|59|243|2|1|14|0|0.243|0.273|0.362
Derek Hill|PHI|215|11|30|31|13|69|13|48|198|0|1|5|1|0.242|0.292|0.444
Andrew Benintendi|CHW|456|14|57|73|1|107|36|100|413|5|1|24|2|0.242|0.301|0.412
Isiah Kiner-Falefa|BOS|173|2|21|16|8|25|17|37|153|0|0|5|0|0.242|0.318|0.314
Starling Marte|KCR|168|2|15|14|2|41|9|37|153|2|4|5|0|0.242|0.298|0.314
Jorbit Vivas|WSH|359|3|32|31|2|53|41|74|306|4|4|15|1|0.242|0.335|0.327
Charles McAdoo|TOR|99|2|10|12|2|24|7|22|91|1|0|3|0|0.242|0.293|0.341
Heliot Ramos|NYY|430|13|46|45|4|118|30|95|393|2|5|20|3|0.242|0.302|0.407
Rikuu Nishida|CHW|30|0|3|2|0|5|0|7|29|0|0|0|0|0.241|0.241|0.241
Ozzie Albies|ATL|669|22|85|72|4|98|46|145|601|14|8|27|1|0.241|0.297|0.399
Ali Sánchez|NYY|88|1|7|8|0|25|1|20|83|1|2|2|0|0.241|0.264|0.301
Luis Torrens|NYM|274|9|36|41|1|56|17|60|249|1|4|14|0|0.241|0.299|0.406
Trea Turner|PHI|682|19|100|58|21|143|48|151|627|3|4|28|1|0.241|0.298|0.38
Jared Triolo|PIT|358|3|34|29|13|70|28|77|320|1|5|12|0|0.241|0.311|0.306
Michael Busch|CHC|695|20|77|77|3|162|91|141|586|5|13|27|2|0.241|0.353|0.396
Mickey Moniak|COL|431|23|49|65|1|119|22|96|399|7|3|17|6|0.241|0.281|0.486
Aaron Judge|NYY|285|18|45|41|5|85|43|57|237|1|2|10|0|0.241|0.36|0.511
Luis Rengifo|SDP|354|4|38|36|6|49|34|75|312|2|3|12|0|0.24|0.319|0.317
Drew Gilbert|SFG|388|11|52|43|2|70|37|81|337|3|9|14|3|0.24|0.329|0.398
Adam Frazier|LAA|147|1|19|13|3|39|11|31|129|0|3|9|1|0.24|0.315|0.349
Adley Rutschman|BOS|399|12|43|57|0|65|38|85|354|5|2|26|1|0.24|0.313|0.421
Kevin Alcántara|CHC|28|1|6|6|0|11|2|6|25|1|0|0|0|0.24|0.286|0.36
Kyle Stowers|MIA|511|21|57|65|1|161|52|107|446|2|10|27|4|0.24|0.331|0.46
Connor Norby|COL|372|7|36|33|10|107|39|77|321|2|10|22|0|0.24|0.339|0.374
Corbin Carroll|ARI|654|22|90|75|21|147|72|136|567|7|8|32|17|0.24|0.33|0.473
Jo Adell|CLE|642|22|66|93|4|156|31|141|588|5|18|25|1|0.24|0.296|0.398
Nick Loftin|KCR|422|8|42|45|4|71|41|88|367|4|6|26|2|0.24|0.323|0.387
David Hamilton|MIL|376|4|47|26|30|84|32|79|330|0|1|11|3|0.239|0.309|0.327
Kahlil Watson|CLE|91|1|6|11|9|32|3|21|88|0|0|6|0|0.239|0.264|0.341
Zach Neto|LAA|684|26|100|74|23|209|65|144|604|1|14|29|5|0.238|0.326|0.432
Spencer Steer|CIN|384|16|54|40|3|86|35|81|340|2|6|14|0|0.238|0.319|0.421
Myles Straw|TOR|325|3|44|26|7|43|27|69|290|3|1|19|1|0.238|0.302|0.341
Brett Baty|NYM|461|11|52|56|5|122|44|97|408|5|3|22|1|0.238|0.313|0.377
Andruw Monasterio|BOS|336|6|35|42|4|67|25|72|303|4|3|23|1|0.238|0.299|0.38
Josh Rojas|KCR|110|2|11|14|1|16|5|24|101|1|1|4|0|0.238|0.278|0.337
Wyatt Langford|TEX|455|17|64|43|15|103|54|94|396|1|4|20|2|0.237|0.334|0.427
Francisco Alvarez|NYM|412|16|37|42|0|126|38|87|367|1|4|14|0|0.237|0.315|0.406
Agustín Ramírez|MIA|239|5|30|24|4|58|25|50|211|1|2|10|1|0.237|0.322|0.365
Carter Jensen|KCR|589|25|77|76|2|167|64|122|515|6|4|33|2|0.237|0.323|0.454
Kyle Tucker|LAD|610|17|88|70|12|102|77|124|524|6|3|23|4|0.237|0.334|0.393
Tim Tawa|ARI|333|11|38|41|8|82|26|70|296|4|0|13|1|0.236|0.294|0.399
George Lombard Jr.|NYY|158|6|21|19|2|42|10|34|144|2|1|3|1|0.236|0.287|0.396
Christian Yelich|MIL|489|12|68|58|11|131|47|102|433|4|4|23|2|0.236|0.314|0.381
Roman Anthony|BOS|232|5|21|15|2|62|27|48|204|0|1|9|2|0.235|0.328|0.373
Andrew Knizner|SFG|75|2|8|4|0|13|4|16|68|0|3|4|0|0.235|0.307|0.382
Joc Pederson|TEX|432|26|56|53|2|102|49|88|374|3|5|12|2|0.235|0.329|0.487
Jesus Rodriguez|SFG|58|2|7|8|1|8|5|12|51|0|1|3|0|0.235|0.316|0.412
