name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Caleb Kilian|SFG|41.3|3|8|3|4.57|1.33|49|5|0|21|37|18|1|181
Paul Sewald|ARI|37.3|2|24|0|4.58|0.94|43|9|0|19|26|9|1|149
Will Dion|CLE|17.7|0|0|0|4.58|1.47|24|3|0|9|23|3|1|78
Michael Rucker|SEA|17.7|0|0|1|4.58|1.3|21|3|0|9|17|6|1|76
Dustin May|STL|104.0|5|0|0|4.59|1.32|103|7|10|53|104|33|7|441
Jack Flaherty|DET|86.3|3|0|0|4.59|1.41|102|11|2|44|80|42|7|389
Kyle Hurt|LAD|33.3|3|1|8|4.59|1.38|39|3|0|17|28|18|1|143
Nick Lodolo|CIN|62.7|3|0|0|4.6|1.47|50|9|3|32|65|27|9|279
Carson Whisenhunt|SFG|15.7|2|0|0|4.6|1.4|13|3|0|8|14|8|0|67
Slade Cecconi|CLE|103.7|4|0|0|4.6|1.45|82|15|5|53|116|34|3|455
Spencer Arrighetti|HOU|88.0|7|0|0|4.6|1.34|87|12|6|45|68|50|14|386
Steven Cruz|KCR|37.0|2|2|2|4.62|1.3|45|10|0|19|31|17|1|157
Austin Warren|NYM|35.0|1|0|0|4.63|1.49|37|5|0|18|34|18|3|157
Adam Macko|TOR|21.3|2|0|3|4.64|1.55|22|2|0|11|23|10|3|96
Ryan Yarbrough|NYY|42.7|2|2|0|4.64|1.29|30|3|0|22|37|18|4|185
Ian Seymour|TBR|73.7|6|2|10|4.64|1.15|86|12|1|38|58|27|4|306
Codi Heuer|CLE|9.7|0|0|1|4.66|1.76|6|0|0|5|12|5|1|46
Drey Jameson|ARI|17.3|0|0|0|4.67|1.44|13|1|0|9|16|9|1|76
Randy Vásquez|SDP|90.3|6|0|1|4.68|1.51|63|14|4|47|107|29|4|396
Tomoyuki Sugano|COL|96.0|10|0|0|4.69|1.29|56|20|5|50|100|24|2|405
Shane Bieber|TOR|30.7|2|0|0|4.7|1.43|22|7|2|16|32|12|0|132
Domingo Gonzalez|SEA|7.7|0|0|0|4.7|1.83|5|1|0|4|9|5|0|36
Roki Sasaki|LAD|93.7|4|0|0|4.71|1.29|94|20|5|49|85|36|5|399
Robert Gasser|MIL|57.3|3|0|0|4.71|1.17|52|11|3|30|53|14|5|242
Mike Paredes|MIN|34.3|0|0|0|4.72|1.43|19|6|0|18|36|13|3|154
Connor Prielipp|MIN|72.3|3|0|0|4.73|1.3|76|8|3|38|68|26|5|312
Camilo Doval|NYY|38.0|3|1|4|4.74|1.37|38|6|0|20|37|15|2|168
Seth Halvorsen|COL|19.0|0|0|2|4.74|1.95|17|3|0|10|22|15|0|96
Mason Barnett|ATH|24.7|1|2|0|4.74|1.38|23|5|0|13|21|13|0|105
Elmer Rodríguez|NYY|17.0|0|0|0|4.76|1.76|10|1|0|9|19|11|3|83
Calvin Faucher|MIA|43.3|4|1|11|4.78|1.55|44|0|0|23|38|29|3|195
Luinder Avila|KCR|67.3|5|0|0|4.81|1.57|59|6|1|36|67|39|2|294
Lazaro Estrada|TOR|9.3|0|0|0|4.82|0.96|6|2|0|5|4|5|0|36
MacKenzie Gore|TEX|115.7|6|0|0|4.82|1.31|127|14|6|62|107|44|5|498
Eric Lauer|LAD|82.0|5|0|0|4.83|1.26|52|20|4|44|75|28|2|346
Wilber Dotel|PIT|22.3|1|0|2|4.84|1.25|25|2|0|12|19|9|0|94
Joel Kuhnel|MIL|35.3|1|6|5|4.84|1.47|22|6|0|19|40|12|4|157
Cole Ragans|KCR|35.3|1|0|0|4.84|1.42|45|10|3|19|27|23|0|151
Luis Castillo|SEA|94.7|3|0|1|4.85|1.33|84|14|4|51|96|30|5|417
Colin Rea|CHC|105.7|7|1|0|4.85|1.42|81|17|3|57|112|38|7|462
