name|stuff_plus|location_plus|pitching_plus
Brendon Little|117|92|113
Colin Poche|94|100|99
Lucas Sims|114|90|104
Justin Wrobleski|100|98|98
Mason Black|98|99|94
Adam Mazur|92|93|89
Alex Faedo|97|97|94
Emerson Hancock|91|99|91
Genesis Cabrera|110|91|100
Jonathan Hernandez|103|89|93
Mike Baumann|103|96|102
Thyago Vieira|100|94|95
Brad Keller|93|98|93
Darren McCaughan|88|97|83
Jordan Leasure|98|90|90
Will Smith|97|101|98
Louie Varland|98|97|98
Wandy Peralta|95|101|98
Roansy Contreras|94|94|89
Tommy Henry|84|102|86
Jordan Weems|100|88|87
Chase Anderson|93|103|98
Nick Nastrini|90|73|72
Tyler Alexander|101|106|102
Ty Blach|79|104|79
Erik Swanson|95|95|90
Zach Pop|111|99|109
Bryce Jarvis|95|91|85
Nick Sandlin|100|91|92
Logan Allen|93|93|84
Scott McGough|87|95|84
Matt Moore|103|87|89
Justin Lawrence|104|94|94
Jake Diekman|111|86|95
Steven Wilson|106|85|91
Bobby Miller|106|92|99
Rafael Montero|102|95|98
Triston McKenzie|89|83|75
Enyel De Los Santos|94|104|96
Taijuan Walker|86|98|87
Roddery Munoz|96|91|87
