name|stuff_plus|location_plus|pitching_plus
Tomoyuki Sugano|81|102|87
Germán Márquez|86|101|87
Isaac Mattson|98|94|87
Simeon Woods Richardson|88|95|87
Shaun Anderson|86|95|87
Bailey Ober|93|91|87
Jose Franco|94|90|87
Cody Laweryson|94|95|87
Griffin Canning|90|90|87
Alek Jacob|88|103|86
Peyton Pallette|92|96|86
Tyler Schweitzer|96|83|86
Jason Alexander|90|96|86
Luis Gil|96|86|86
Carl Edwards Jr.|88|95|86
Jose Quintana|80|104|86
Nolan Hoffman|97|86|86
Jack Anderson|90|99|86
Tayler Saucedo|94|85|86
Taylor Rashi|91|96|86
Andrew Wantz|107|84|86
Dennis Santana|92|95|86
Corbin Martin|93|89|86
Ty Madden|86|97|86
Osvaldo Bido|99|90|85
Domingo Gonzalez|95|85|85
Christian Roa|97|89|85
Vince Velasquez|89|101|85
Dietrich Enns|100|87|85
Mike Paredes|93|91|85
Bailey Falter|88|91|85
Victor Mederos|127|56|84
Robert Gasser|102|86|84
Nick Raquet|98|86|84
Lucas Giolito|88|92|84
PJ Poulin|94|93|84
Jonathan Heasley|92|94|84
Logan Allen|104|83|84
Matt Pushard|96|91|84
Hayden Juenger|88|96|84
Joey Lucchesi|100|84|83
Aaron Bummer|104|80|83
Luis Mey|100|82|83
Travis Adams|91|92|83
Codi Heuer|98|85|83
Cameron Foster|102|81|83
George Klassen|96|84|83
Zack Littell|83|98|83
Cristian Javier|93|88|83
Andre Granillo|97|81|83
Michael Kelly|101|82|82
Taijuan Walker|88|93|82
Joe Ross|83|91|82
Cole Henry|96|87|82
Hunter Bigge|99|78|81
Mitch Farris|94|88|80
Josh Walker|95|86|80
Ken Waldichuk|99|81|80
Craig Yoho|97|83|80
Cody Ponce|95|84|80
Bryan Abreu|96|81|80
Joey Estes|88|95|80
Lucas Sims|100|80|79
Angel Chivilli|94|77|79
Elmer Rodríguez|89|88|78
Lazaro Estrada|92|93|78
Jordan Romano|100|79|77
Jeff Criswell|81|93|77
Yunior Marte|123|71|77
Justin Verlander|101|78|77
Zak Kent|91|83|76
Sam Hentges|93|80|75
Luis Morales|93|79|75
Kade Morris|103|77|75
Lyon Richardson|82|83|75
Sammy Peralta|88|88|75
Kyle Nicolas|94|74|75
Valente Bellozo|86|87|74
Carlos Rodriguez|86|84|74
Scott Barlow|91|81|74
Kody Funderburk|99|69|72
Yaramil Hiraldo|104|68|72
Drey Jameson|97|71|72
Mitch Spence|88|79|72
Lou Trivino|89|76|71
Jackson Rutledge|90|76|71
Carter Baumler|101|67|71
Bennett Sousa|103|67|70
J.P. France|95|75|70
Ryan Johnson|91|77|70
Tyler Zuber|116|49|70
Drew Rom|82|82|70
Julian Fernández|91|75|69
Roddery Muñoz|86|80|69
Carson Kelly|31|117|69
Riley Cornelio|101|69|68
José Buttó|92|69|68
Aaron Brooks|81|82|67
Jacob Waguespack|85|70|66
Cameron Weston|88|79|65
Ian Hamilton|93|71|65
Brendan Beck|88|76|64
Doug Nikhazy|63|81|62
Alek Manoah|66|84|61
Jake Rogers|35|106|61
Austin Voth|88|65|60
Charlie Barnes|75|79|60
Braxton Garrett|90|66|60
John Klein|95|69|59
Javier Sanoja|51|109|58
Garrett Stubbs|41|97|56
Adrian Del Castillo|0|148|55
Ben Williamson|39|103|55
Kade Strowd|96|49|54
Miguel Rojas|36|103|53
Orlando Arcia|40|98|53
Jorge Mateo|34|78|53
Tyler Tolbert|38|110|51
Eric Cerantola|91|56|49
Carlos Cortes|64|73|47
Christian Koss|17|120|47
Wyatt Mills|98|44|46
Carlos Estévez|80|62|46
César Salazar|25|104|45
P.J. Higgins|24|111|42
Jose Trevino|46|92|41
Jorbit Vivas|19|103|39
Brett Sullivan|18|104|38
Joe Rock|93|37|37
Adam Frazier|36|93|35
Josh White|83|53|33
Weston Wilson|32|97|32
James McCann|45|81|31
Alex Jackson|24|78|18
Tyler Callihan|49|44|17
Tyler Heineman|7|98|16
Joey Wiemer|36|63|8
Dylan Moore|13|77|6
Buddy Kennedy|12|82|1
Reese McGuire|13|82|-11
Jonathan Cannon|93|-32|-23
Sam Haggerty|-16|72|-48
