name|barrel_pct|hard_hit_pct|woba|xwoba
Fernando Tatis Jr.|12.6|53.9|.347|.372
Carlos Cortes|6.3|36.5|.322|.307
Drew Gilbert|5.3|35.4|.311|.327
Jorge Soler|10.9|42.6|.295|.294
J.P. Crawford|5.9|35.8|.316|.326
Daylen Lile|8.9|38.3|.323|.329
TJ Friedl|3|28.8|.232|.248
Randy Arozarena|8|41.7|.368|.349
Ryan Kreidler|8|36.8|.287|.287
Drew Cavanaugh|5.3|30.8|.281|.323
Bryce Eldridge|11.7|52.5|.352|.357
Brice Matthews|8.6|37.1|.257|.260
Victor Mesa Jr.|11.5|38.9|.317|.312
Gustavo Campero|0|25|.328|.180
Ha-Seong Kim|3.1|25.8|.174|.223
Josh Bell|9.3|41.6|.323|.328
Josh Jung|6.3|48.3|.353|.347
Ceddanne Rafaela|5.2|31.8|.330|.282
Braden Montgomery|4|40.8|.300|.327
Will Wagner|0|17.9|.333|.329
Luis Campusano|8.9|41.6|.367|.325
Christian Moore|10.3|35|.244|.246
Trent Grisham|9.6|45.3|.310|.337
Jackson Chourio|12.9|47.7|.356|.336
Pavin Smith|3.3|31.1|.206|.255
Taylor Walls|1.9|22.3|.277|.251
Graham Pauley|5.6|24.4|.249|.224
Will Banfield|0|33.3|.000|.070
Everson Pereira|12.7|41.3|.327|.299
Steward Berroa|0|0|.127|.211
Salvador Perez|10.1|42.2|.279|.303
Bobby Witt Jr.|11.5|50.9|.349|.382
BJ Murray Jr.|0|33.3|.178|.080
Austin Martin|3.1|29.3|.315|.311
Henry Bolte|7.2|48.1|.333|.312
Trey Mancini|18.2|45.5|.305|.282
Rob Refsnyder|8.6|34.6|.207|.255
Kaelen Culpepper|4.9|32.3|.356|.312
Patrick Wisdom|19.2|42.3|.154|.241
Austin Wells|6.9|42.6|.268|.293
Christian Yelich|9.9|43.4|.312|.315
Adael Amador|15.4|30.8|.542|.284
Junior Perez|14.3|52.4|.264|.312
Chadwick Tromp|0|26.3|.150|.170
Ozzie Albies|4.1|27.9|.315|.286
Coby Mayo|12.6|48.2|.316|.319
Eddys Leonard|16.7|16.7|.269|.299
Jonah Heim|6.8|33.2|.292|.294
Andrés Giménez|3.3|24.7|.282|.268
Chandler Simpson|0|12.7|.309|.262
José Ramírez|4.4|41|.314|.341
George Lombard Jr.|7.3|35.7|.300|.295
Agustín Ramírez|3.9|39.1|.300|.276
Daniel Susac|5.3|32.5|.290|.296
Michael Helman|0|7.7|.239|.200
Brice Turang|7.4|41|.336|.335
CJ Abrams|9.7|40.9|.363|.328
Nathan Lukes|2.4|27.6|.313|.287
Andrew McCutchen|5.8|28.8|.249|.237
Jacob Young|6.1|31|.314|.317
Ben Ross|0|0|.000|.044
Brett Sullivan|4.4|32.1|.311|.286
Xavier Edwards|3.2|28.7|.327|.313
Owen Caissie|13.9|45.2|.304|.298
Austin Slater|2.3|18.2|.271|.235
Jonathan Aranda|9.7|46.2|.342|.348
Ezequiel Tovar|6.5|34|.259|.277
Ildemaro Vargas|3.2|35.3|.295|.300
Gleyber Torres|6.8|33.3|.335|.326
Kyle Manzardo|12|41|.305|.307
Colson Montgomery|12.3|41.6|.315|.304
Andrew Benintendi|8.8|44.4|.314|.309
Kazuma Okamoto|13.3|43.8|.323|.318
Jahmai Jones|10.6|47.1|.321|.347
Geraldo Perdomo|2.8|30.8|.329|.329
Nicky Lopez|0|20.3|.270|.251
Darell Hernaiz|0.9|27.5|.275|.262
Brewer Hicklen|8.3|50|.457|.368
Jake McCarthy|5.2|28|.350|.319
Carson Williams|4|24|.166|.217
Jazz Chisholm Jr.|8.6|42.9|.313|.295
Brock Rodden|3.3|33.3|.274|.232
Rodolfo Durán|8.5|30.5|.236|.257
Dane Myers|4.6|35.4|.327|.313
Elias Díaz|9.2|39.4|.285|.278
Kenny Piper|16.7|33.3|.364|.241
Eugenio Suárez|10.8|34.8|.311|.282
Andy Ibáñez|0|18.2|.095|.164
Carlos Santana|0|43.8|.137|.187
Alika Williams|0.8|33.3|.319|.244
Ryan Waldschmidt|6.3|30.2|.321|.303
Taylor Ward|5.3|38.2|.313|.334
Jared Oliva|0|66.7|.127|.308
Will Brennan|0|25|.077|.178
Austin Wynns|3.3|26.7|.176|.240
Ezequiel Duran|6.4|37.6|.344|.305
Eloy Jiménez|4|44|.289|.256
Lazaro Montes|20|40|.453|.335
Luke Maile|4.5|22.7|.197|.156
Zach McKinstry|2.1|21.8|.273|.283
Rafael Marchán|2.7|18.9|.143|.208
Christian Walker|8.9|41|.318|.301
Logan Porter|0|50|.443|.414
Isaac Paredes|4.8|28.1|.346|.320
Gabriel Moreno|7.8|42.7|.365|.363
Nolan Schanuel|2.4|32.9|.328|.335
Jorbit Vivas|3.5|21.6|.303|.301
J.C. Escarra|4.5|33.8|.228|.257
Ketel Marte|10.1|42.6|.329|.351
David Fry|6.3|32.6|.300|.263
Kerry Carpenter|9.6|44|.301|.295
Wade Meckler|2.9|33.7|.341|.313
David Hamilton|3.4|28.3|.292|.276
Wenceel Pérez|7.6|33.3|.262|.272
Dylan Beavers|7.1|38.8|.315|.307
Nasim Nuñez|1|21.7|.253|.267
Luke Keaschall|3.7|29.9|.342|.317
Kyle Stowers|12.6|55.9|.347|.331
Buddy Kennedy|10.7|32.1|.185|.249
Logan O'Hoppe|9.3|35.7|.255|.264
Johnathan Rodríguez|0|50|.283|.297
Sam Antonacci|5.3|32.7|.339|.342
Andruw Monasterio|6.9|32.2|.309|.299
Ernie Clement|2.1|20.1|.301|.266
Jorge Mateo|8.7|40|.275|.305
Eliezer Alfonzo|0|32|.192|.223
Rowdy Tellez|28.6|42.9|.331|.506
Jake Fraley|8.8|21.4|.305|.280
Jordan Lawlar|5.6|22.2|.355|.315
José Caballero|4.2|25.9|.292|.279
Nick Fortes|2.1|34.5|.299|.277
Elly De La Cruz|14.1|51.1|.361|.362
Royce Lewis|11.3|41.1|.309|.316
Shea Langeliers|14.9|45.6|.357|.363
Joey Meneses|0|58.8|.220|.327
George Springer|6.9|37.9|.327|.306
Brandon Lowe|11.9|45.8|.347|.323
Rikuu Nishida|0|12|.215|.247
Josh Smith|7.8|29.5|.287|.287
John Peck|25|50|.288|.427
Kevin Alcántara|6.7|26.7|.282|.275
Jo Adell|9.4|44.2|.307|.329
Victor Robles|1.8|20.4|.287|.283
Spencer Torkelson|12.4|41|.320|.311
Michael Stefanic|0|33.3|.400|.372
Jesús Sánchez|11.1|45.5|.323|.326
Shawn Ross|33.3|33.3|.410|.428
James Triantos|0|16.7|.177|.159
Teoscar Hernández|9.7|45|.318|.321
Willi Castro|8|39.9|.330|.309
Bryson Stott|5.8|37.6|.324|.328
Sterlin Thompson|6.3|43.8|.308|.295
Ronny Mauricio|9.4|34.4|.191|.205
Curtis Mead|10.9|42.3|.370|.358
Lourdes Gurriel Jr.|4.9|34.3|.242|.277
Braxton Fulford|7.5|32.5|.240|.210
Marcell Ozuna|7.7|36.8|.276|.304
Connor Joe|8.3|45.8|.274|.337
Nolan Arenado|6.2|30.7|.319|.284
Luke Raley|15.7|47.1|.313|.342
Miles Mastrobuoni|0|22.2|.202|.184
